	R	jQuery()										
.fadeTo()	A			jQuery Effects\njQuery Fading							<section class="prog__container"><p>Adjust the opacity of the matched elements.</p><pre><code>$(selector).fadeTo(duration,opacity,complete) → jQuery\n$(selector).fadeTo(duration,opacity,easing,complete) → jQuery</code></pre><p>Arguments</p><pre><code>duration (String| Number) : A string or number determining how long the animation will run.\nopacity (Number) : A number between 0 and 1 denoting the target opacity.\ncomplete (Function) : A function to call once the animation is complete.\neasing (String) : A string indicating which easing function to use for the transition.</code></pre></section>	https://api.jquery.com/fadeTo/
.fadeToggle	R	.fadeToggle()										
.fadeToggle()	A			jQuery Effects\njQuery Fading							<section class="prog__container"><p>Display or hide the matched elements by animating their opacity.</p><pre><code>$(selector).fadeToggle(duration,easing,complete) → jQuery\n$(selector).fadeToggle(options) → jQuery</code></pre></section>	https://api.jquery.com/fadeToggle/
.fail	R	deferred.fail()										
.fail()	R	deferred.fail()										
.filter	R	.filter()										
.filter()	A			jQuery Traversing\njQuery Filtering							<section class="prog__container"><p>Reduce the set of matched elements to those that match the selector or pass the function's test. </p><pre><code>$(selector).filter(selector) → jQuery\n$(selector).filter(function) → jQuery\n$(selector).filter(elements) → jQuery\n$(selector).filter(selection) → jQuery</code></pre><p>Arguments</p><pre><code>selector (Selector) : A string containing a selector expression to match the current set of elements against.\nfunction (Function) : A function used as a test for each element in the set. this is the current DOM element.\nelements (Element) : One or more DOM elements to match the current set of elements against.\nselection (jQuery) : An existing jQuery object to match the current set of elements against.</code></pre></section>	https://api.jquery.com/filter/
.find	R	.find()										
.find()	A			jQuery Traversing\njQuery Tree Traversal							<section class="prog__container"><p>Get the descendants of each element in the current set of matched elements, filtered by a selector, jQuery object, or element.</p><pre><code>$(selector).find(selector) → jQuery\n$(selector).find(element) → jQuery</code></pre><p>Arguments</p><pre><code>selector (Selector) : A string containing a selector expression to match elements against.\nelement (Element| jQuery) : An element or a jQuery object to match elements against.</code></pre></section>	https://api.jquery.com/find/
.finish	R	.finish()										
.finish()	A			jQuery Effects\njQuery Custom Effects							<section class="prog__container"><p>Stop the currently-running animation, remove all queued animations, and complete all animations for the matched elements.</p><pre><code>$(selector).finish(queue) → jQuery</code></pre><p>Arguments</p><pre><code>queue (String) : The name of the queue in which to stop animations.</code></pre></section>	https://api.jquery.com/finish/
.fire	R	callbacks.fire()										
.fire()	R	callbacks.fire()										
.fireWith	R	callbacks.fireWith()										
.fireWith()	R	callbacks.fireWith()										
.fired	R	callbacks.fired()										
.fired()	R	callbacks.fired()										
.first	R	.first()										
.first()	A			jQuery Traversing\njQuery Filtering							<section class="prog__container"><p>Reduce the set of matched elements to the first in the set.</p><pre><code>$(selector).first() → jQuery</code></pre></section>	https://api.jquery.com/first/
.fn.extend	R	jQuery.fn.extend()										
.fn.extend()	R	jQuery.fn.extend()										
.focus	R	.focus()										
.focus event	R	.focus()										
.focus()	A			jQuery Events\njQuery Form Events\njQuery Forms							<section class="prog__container"><p>Bind an event handler to the "focus" JavaScript event, or trigger that event on an element.</p><pre><code>$(selector).focus(handler) → jQuery\n$(selector).focus(eventData,handler) → jQuery\n$(selector).focus() → jQuery</code></pre><p>Arguments</p><pre><code>handler (Function) : A function to execute each time the event is triggered.\neventData (Anything) : An object containing data that will be passed to the event handler.</code></pre></section>	https://api.jquery.com/focus/
.focus() event	R	.focus()										
.focusin	R	.focusin()										
.focusin event	R	.focusin()										
.focusin()	A			jQuery Events\njQuery Form Events\njQuery Forms							<section class="prog__container"><p>Bind an event handler to the "focusin" event.</p><pre><code>$(selector).focusin(handler) → jQuery\n$(selector).focusin(eventData,handler) → jQuery\n$(selector).focusin() → jQuery</code></pre><p>Arguments</p><pre><code>handler (Function) : A function to execute each time the event is triggered.\neventData (Anything) : An object containing data that will be passed to the event handler.</code></pre></section>	https://api.jquery.com/focusin/
.focusin() event	R	.focusin()										
.focusout	R	.focusout()										
.focusout event	R	.focusout()										
.focusout()	A			jQuery Events\njQuery Form Events\njQuery Forms							<section class="prog__container"><p>Bind an event handler to the "focusout" JavaScript event.</p><pre><code>$(selector).focusout(handler) → jQuery\n$(selector).focusout(eventData,handler) → jQuery\n$(selector).focusout() → jQuery</code></pre><p>Arguments</p><pre><code>handler (Function) : A function to execute each time the event is triggered.\neventData (Anything) : An object containing data that will be passed to the event handler.</code></pre></section>	https://api.jquery.com/focusout/
.focusout() event	R	.focusout()										
.fx.interval	R	jQuery.fx.interval										
.fx.off	R	jQuery.fx.off										
.get	R	.get()										
.get()	A			jQuery Miscellaneous\njQuery Dom Element Methods							<section class="prog__container"><p>Retrieve one of the elements matched by the jQuery object.</p><pre><code>$(selector).get(index) → Element</code></pre><p>Arguments</p><pre><code>index (Integer) : A zero-based integer indicating which element to retrieve.</code></pre>\n<p>Retrieve the elements matched by the jQuery object.</p><pre><code>$(selector).get() → Array</code></pre></section>	https://api.jquery.com/get/
.getJSON	R	jQuery.getJSON()										
.getJSON()	R	jQuery.getJSON()										
.getScript	R	jQuery.getScript()										
.getScript()	R	jQuery.getScript()										
.globalEval	R	jQuery.globalEval()										
.globalEval()	R	jQuery.globalEval()										
.grep	R	jQuery.grep()										
.grep()	R	jQuery.grep()										
.has	R	.has()										
.has()	A			jQuery Traversing\njQuery Filtering							<section class="prog__container"><p>Reduce the set of matched elements to those that have a descendant that matches the selector or DOM element.</p><pre><code>$(selector).has(selector) → jQuery\n$(selector).has(contained) → jQuery</code></pre><p>Arguments</p><pre><code>selector (String) : A string containing a selector expression to match elements against.\ncontained (Element) : A DOM element to match elements against.</code></pre></section>	https://api.jquery.com/has/
.hasClass	R	.hasClass()										
.hasClass()	A			jQuery Attributes\njQuery Manipulation\njQuery Class Attribute\njQuery Css							<section class="prog__container"><p>Determine whether any of the matched elements are assigned the given class.</p><pre><code>$(selector).hasClass(className) → Boolean</code></pre><p>Arguments</p><pre><code>className (String) : The class name to search for.</code></pre></section>	https://api.jquery.com/hasClass/
.hasData	R	jQuery.hasData()										
.hasData()	R	jQuery.hasData()										
.height	R	.height()										
.height()	A			jQuery Css\njQuery Dimensions\njQuery Manipulation\njQuery Style Properties							<section class="prog__container"><p>Get the current computed height for the first element in the set of matched elements.</p><pre><code>$(selector).height() → Number</code></pre>\n<p>Set the CSS height of every matched element.</p><pre><code>$(selector).height(value) → jQuery\n$(selector).height(function) → jQuery</code></pre><p>Arguments</p><pre><code>value (String| Number) : An integer representing the number of pixels, or an integer with an optional unit of measure appended (as a string).\nfunction (Function) : A function returning the height to set. Receives the index position of the element in the set and the old height as arguments. Within the function, this refers to the current element in the set.</code></pre></section>	https://api.jquery.com/height/
.hide	R	.hide()										
.hide()	A			jQuery Effects\njQuery Basics							<section class="prog__container"><p>Hide the matched elements.</p><pre><code>$(selector).hide() → jQuery\n$(selector).hide(duration,complete) → jQuery\n$(selector).hide(options) → jQuery\n$(selector).hide(duration,easing,complete) → jQuery</code></pre><p>Arguments</p><pre><code>duration (Number| String) : A string or number determining how long the animation will run.</code></pre></section>	https://api.jquery.com/hide/
.holdReady	R	jQuery.holdReady()										
.holdReady()	R	jQuery.holdReady()										
.hover	R	.hover()										
.hover event	R	.hover()										
.hover()	A			jQuery Events\njQuery Mouse Events							<section class="prog__container"><p>Bind two handlers to the matched elements, to be executed when the mouse pointer enters and leaves the elements.</p><pre><code>$(selector).hover(handlerIn,handlerOut) → jQuery</code></pre><p>Arguments</p><pre><code>handlerIn (Function) : A function to execute when the mouse pointer enters the element.\nhandlerOut (Function) : A function to execute when the mouse pointer leaves the element.</code></pre>\n<p>Bind a single handler to the matched elements, to be executed when the mouse pointer enters or leaves the elements.</p><pre><code>$(selector).hover(handlerInOut) → jQuery</code></pre><p>Arguments</p><pre><code>handlerInOut (Function) : A function to execute when the mouse pointer enters or leaves the element.</code></pre></section>	https://api.jquery.com/hover/
